sentence_id,sent,anno
0,"Đồng_thời , bệnh_viện tiếp_tục thực_hiện các biện_pháp phòng_chống dịch_bệnh COVID - 19 theo hướng_dẫn của Bộ Y_tế .",O O O O O O O O O O O O O O O B-ORGANIZATION I-ORGANIZATION O
1,""" Số bệnh_viện có_thể tiếp_nhận bệnh_nhân bị sốt cao và khó thở đang giảm dần "" , thông_cáo có đoạn , cảnh_báo những bệnh_nhân này thay vào đó được chuyển tới các phòng_khám khẩn_cấp , khiến những bệnh_nhân mắc bệnh hiểm_nghèo khác không có cơ_hội được điều_trị .",O O O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2,"Ngoài_ra , những người tiếp_xúc gián_tiếp ( đã gặp những người tiếp_xúc gần với bệnh_nhân ) được lập danh_sách và yêu_cầu cách_ly y_tế tại nơi ở .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
3,"Bà này khi trở về quá_cảnh Doha ( Qatar ) , đáp xuống Tân_Sơn_Nhất sáng 2/3 cùng 75 hành_khách , trong đó có 55 người nước_ngoài .",O O O O O O B-LOCATION O B-LOCATION O O O O B-LOCATION O B-DATE O O O O O O O O O O O
4,""" Bệnh_nhân 523 "" và chồng là "" bệnh_nhân 522 "" , 67 tuổi , được Bộ Y_tế ghi_nhận nhiễm nCoV hôm 31/7 .",O O B-PATIENT_ID O O O O O O B-PATIENT_ID O O B-AGE O O O B-ORGANIZATION I-ORGANIZATION O O O O B-DATE O
5,"Trường_hợp bệnh_nhân 188 L.T.H. , theo thông_tin từ cơ_quan y_tế địa_phương , bệnh_nhân về nhà ngày 14 - 4 và từ đó chỉ tiếp_xúc với chồng và con , đây không phải là tái_nhiễm mà do có_thể virus yếu ở thời_điểm lấy mẫu lần trước , hoặc vị_trí lấy mẫu , thời_điểm lấy mẫu dẫn đến âm_tính giả .",O O B-PATIENT_ID B-NAME O O O O O O O O O O O O B-DATE I-DATE I-DATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6,"Riêng bệnh_nhân 91 là phi_công người Anh ngụ ở quận 2 , TP. HCM và có liên_quan ổ dịch quán bar Buddha , thông_tin cập_nhật ngày 10 - 4 cho biết diễn_biến bệnh của bệnh_nhân không xấu hơn nhưng cũng chưa có dấu_hiệu hồi_phục .",O O B-PATIENT_ID O B-JOB O O O O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O B-DATE I-DATE I-DATE O O O O O O O O O O O O O O O O
7,"Bệnh_nhân đã được xét_nghiệm có 3 kết_quả âm_tính vào các ngày 19 , 21 và 23 - 8 .",O O O O O O O O O O O B-DATE O B-DATE O B-DATE I-DATE I-DATE O
8,Bà đã tiếp_xúc với người_thân xác_định mắc Covid - 19 trước khi về Việt_Nam .,O O O O O O O O O O O O O B-LOCATION O
9,"Chiều 22 - 4 , bệnh_nhân được cho về theo_dõi cách_ly tại nhà .",O B-DATE I-DATE I-DATE O O O O O O O O O O
